Index;wl;fwhm;expr;convolution;Spec
NDVI;"800;670";"10;10";(a-b)/(a+b);mean;R
PRI;"531;570";"2;2";(a-b)/(a+b);mean;R
MTCI;"754;709;681";"7;10;7";(a-b)/(b+c);mean;R
SR;"795;810";"10;10";a/b;mean;R
EVI;"800;670;480";"10;10;10";2.5*(a-b)/(a+6*b-7.5*c+1);mean;R
REP;"670;800;700;740";"10;10;10;10";700+40*((a-b/2)-c)/(d-c);mean;R
TCARI;"700;670;550;670";"5;5;5;5";3*(a-b-0.2*(a-c)*a/d);mean;R
REDCl;"785;725";"15;5";a/b-1;mean;R
MCRI;"510;725;785";"5;5;15";c/(a-b);mean;R
L800;"800";"10";a;mean;L
