"wl";"up_coef";"dw_coef";"wl_F";"up_coef_F";"dw_coef_F";"Device ID"
650.610192426269;0.00319725847152271;0.00167757802727681;650.610192426269;0.00319725847152271;0.00167757802727681;"AIRFLOX05FZJ"
650.794523440554;0.00318966752059086;0.0016745472187192;650.794523440554;0.00318966752059086;0.0016745472187192;"Date"
650.978774367068;0.0031820798677602;0.00167151772698123;650.978774367068;0.0031820798677602;0.00167151772698123;"20230531"
651.162945280029;0.00317449550997437;0.00166848955084262;651.162945280029;0.00317449550997437;0.00166848955084262;"Technician"
651.34703625365;0.0031669144441772;0.00166546268908311;651.34703625365;0.0031669144441772;0.00166546268908311;"Mitch"
651.531047362147;0.00315933666731238;0.00166243714048245;651.531047362147;0.00315933666731238;0.00166243714048245;"Place"
651.714978679736;0.00315211303963382;0.00165955261756692;651.714978679736;0.00315211303963382;0.00165955261756692;"JB HQ"
651.89883028063;0.00314552478422221;0.00165691624715571;651.89883028063;0.00314552478422221;0.00165691624715571;""
652.082602239047;0.00313946764521824;0.00165447924448273;652.082602239047;0.00313946764521824;0.00165447924448273;""
652.2662946292;0.00313383763680395;0.00165219295120233;652.2662946292;0.00313383763680395;0.00165219295120233;""
652.449907525305;0.00312853104249329;0.00165000883505702;652.449907525305;0.00312853104249329;0.00165000883505702;""
652.633441001578;0.00312344441442418;0.00164787848954586;652.633441001578;0.00312344441442418;0.00164787848954586;""
652.816895132232;0.0031184745726519;0.0016457536335934;652.816895132232;0.0031184745726519;0.0016457536335934;""
653.000269991485;0.00311353643696643;0.00164359860995998;653.000269991485;0.00311353643696643;0.00164359860995998;""
653.18356565355;0.00310861643135825;0.00164142781637204;653.18356565355;0.00310861643135825;0.00164142781637204;""
653.366782192643;0.00310371882437552;0.00163926809586644;653.366782192643;0.00310371882437552;0.00163926809586644;""
653.54991968298;0.00309884787349376;0.00163714622201709;653.54991968298;0.00309884787349376;0.00163714622201709;""
653.732978198774;0.00309400782514527;0.00163508889911847;653.732978198774;0.00309400782514527;0.00163508889911847;""
653.915957814243;0.00308920291474814;0.0016331227623686;653.915957814243;0.00308920291474814;0.0016331227623686;""
654.0988586036;0.0030844373667358;0.00163127437805207;654.0988586036;0.0030844373667358;0.00163127437805207;""
654.281680641061;0.00307971345061757;0.00162956184085482;654.281680641061;0.00307971345061757;0.00162956184085482;""
654.464424000842;0.00307502565913964;0.00162796960882853;654.464424000842;0.00307502565913964;0.00162796960882853;""
654.647088757156;0.00307036655774811;0.00162647378794375;654.647088757156;0.00307036655774811;0.00162647378794375;""
654.829674984221;0.00306572873101969;0.00162505054565829;654.829674984221;0.00306572873101969;0.00162505054565829;""
655.01218275625;0.00306110478261145;0.00162367611075486;655.01218275625;0.00306110478261145;0.00162367611075486;""
655.194612147459;0.00305648733521019;0.00162232677317897;655.194612147459;0.00305648733521019;0.00162232677317897;""
655.376963232064;0.0030518690304821;0.00162097888387715;655.376963232064;0.0030518690304821;0.00162097888387715;""
655.559236084278;0.0030472448969435;0.00161960895699648;655.559236084278;0.0030472448969435;0.00161960895699648;""
655.741430778319;0.0030426194414912;0.00161819397627998;655.741430778319;0.0030426194414912;0.00161819397627998;""
655.9235473884;0.00303799952431584;0.00161671108690279;655.9235473884;0.00303799952431584;0.00161671108690279;""
656.105585988737;0.00303339198797743;0.0016151374928226;656.105585988737;0.00303339198797743;0.0016151374928226;""
656.287546653546;0.00302880365745221;0.00161345045662343;656.287546653546;0.00302880365745221;0.00161345045662343;""
656.46942945704;0.00302424134017949;0.00161162729935966;656.46942945704;0.00302424134017949;0.00161162729935966;""
656.651234473437;0.00301971182610801;0.00160964540040027;656.651234473437;0.00301971182610801;0.00160964540040027;""
656.83296177695;0.00301522182458817;0.00160749656808727;656.83296177695;0.00301522182458817;0.00160749656808727;""
657.014611441795;0.00301077777527799;0.00160523007836278;657.014611441795;0.00301077777527799;0.00160523007836278;""
657.196183542188;0.00300638603821889;0.00160290943353317;657.196183542188;0.00300638603821889;0.00160290943353317;""
