"wl";"up_coef";"dw_coef";"wl_F";"up_coef_F";"dw_coef_F";"Device ID"
341.953572143014;0.010080163956654;0.00223868051670348;341.953572143014;0.010080163956654;0.00223868051670348;"AIRFLOX07FZJ"
342.72421558197;0.00999259554776753;0.00221810971252037;342.72421558197;0.00999259554776753;0.00221810971252037;"Date"
343.494661274712;0.00990504960883337;0.00219754418678179;343.494661274712;0.00990504960883337;0.00219754418678179;"20230531"
344.264909217099;0.00981752614032205;0.00217698393959828;344.264909217099;0.00981752614032205;0.00217698393959828;"Technician"
345.034959404988;0.00973002514270437;0.00215642897108042;345.034959404988;0.00973002514270437;0.00215642897108042;"Mitch"
345.804811834235;0.00964254661645119;0.00213587928133884;345.804811834235;0.00964254661645119;0.00213587928133884;"Place"
346.5744665007;0.00955509056203295;0.00211533487048403;346.5744665007;0.00955509056203295;0.00211533487048403;"JB HQ"
347.343923400239;0.00946765697992053;0.00209479573862663;347.343923400239;0.00946765697992053;0.00209479573862663;""
348.11318252871;0.0093802458705846;0.00207426188587718;348.11318252871;0.0093802458705846;0.00207426188587718;""
348.882243881971;0.00929285723449579;0.00205373331234626;348.882243881971;0.00929285723449579;0.00205373331234626;""
349.651107455879;0.0092054910721249;0.00203321001814445;349.651107455879;0.0092054910721249;0.00203321001814445;""
350.419773246293;0.00911814738394245;0.00201269200338229;350.419773246293;0.00911814738394245;0.00201269200338229;""
351.188241249069;0.00903082617041934;0.00199217926817039;351.188241249069;0.00903082617041934;0.00199217926817039;""
351.956511460065;0.00894352743202621;0.00197167181261932;351.956511460065;0.00894352743202621;0.00197167181261932;""
352.724583875139;0.00885625116923373;0.00195116963683963;352.724583875139;0.00885625116923373;0.00195116963683963;""
353.492458490149;0.00876899738251255;0.0019306727409419;353.492458490149;0.00876899738251255;0.0019306727409419;""
354.260135300951;0.00868176607233355;0.00191018112503673;354.260135300951;0.00868176607233355;0.00191018112503673;""
355.027614303405;0.00859455723916717;0.00188969478923464;355.027614303405;0.00859455723916717;0.00188969478923464;""
355.794895493366;0.0085073708834844;0.00186921373364626;355.794895493366;0.0085073708834844;0.00186921373364626;""
356.561978866694;0.00842020700575567;0.00184873795838212;356.561978866694;0.00842020700575567;0.00184873795838212;""
357.328864419245;0.00833306560645187;0.00182826746355282;357.328864419245;0.00833306560645187;0.00182826746355282;""
358.095552146878;0.00824594668604354;0.0018078022492689;358.095552146878;0.00824594668604354;0.0018078022492689;""
358.862042045449;0.00815885024500155;0.00178734231564097;358.862042045449;0.00815885024500155;0.00178734231564097;""
359.628334110817;0.00807177628379647;0.00176688766277957;359.628334110817;0.00807177628379647;0.00176688766277957;""
360.394428338838;0.00798472480289916;0.00174643829079532;360.394428338838;0.00798472480289916;0.00174643829079532;""
361.160324725372;0.00789769580278006;0.00172599419979873;361.160324725372;0.00789769580278006;0.00172599419979873;""
361.926023266274;0.00781068928391016;0.00170555538990044;361.926023266274;0.00781068928391016;0.00170555538990044;""
362.691523957404;0.0077237052467599;0.00168512186121095;362.691523957404;0.0077237052467599;0.00168512186121095;""
363.456826794618;0.00763674369180015;0.00166469361384089;363.456826794618;0.00763674369180015;0.00166469361384089;""
364.221931773774;0.00754980461950159;0.00164427064790081;364.221931773774;0.00754980461950159;0.00164427064790081;""
364.98683889073;0.00746288803033485;0.00162385296350129;364.98683889073;0.00746288803033485;0.00162385296350129;""
365.751548141344;0.00737599392477059;0.00160344056075287;365.751548141344;0.00737599392477059;0.00160344056075287;""
366.516059521472;0.00728912230327971;0.00158303343976618;366.516059521472;0.00728912230327971;0.00158303343976618;""
367.280373026973;0.00720227316633275;0.00156263160065175;367.280373026973;0.00720227316633275;0.00156263160065175;""
368.044488653705;0.00711544651440035;0.00154223504352015;368.044488653705;0.00711544651440035;0.00154223504352015;""
368.808406397524;0.00702864234795341;0.00152184376848199;368.808406397524;0.00702864234795341;0.00152184376848199;""
369.572126254288;0.00694186066746258;0.00150145777564784;369.572126254288;0.00694186066746258;0.00150145777564784;""
370.335648219856;0.0068551014733984;0.00148107706512822;370.335648219856;0.0068551014733984;0.00148107706512822;""
371.098972290085;0.00676836476623166;0.00146070163703373;371.098972290085;0.00676836476623166;0.00146070163703373;""
371.862098460832;0.0066816505464331;0.00144033149147496;371.862098460832;0.0066816505464331;0.00144033149147496;""
372.625026727954;0.00659495881447351;0.0014199666285625;372.625026727954;0.00659495881447351;0.0014199666285625;""
373.387757087311;0.0065082895708233;0.00139960704840685;373.387757087311;0.0065082895708233;0.00139960704840685;""
374.150289534758;0.0064216428159535;0.00137925275111867;374.150289534758;0.0064216428159535;0.00137925275111867;""
374.912624066154;0.00633501855033462;0.00135890373680847;374.912624066154;0.00633501855033462;0.00135890373680847;""
375.674760677357;0.00624841677443733;0.00133856000558684;375.674760677357;0.00624841677443733;0.00133856000558684;""
376.436699364224;0.00616183748873241;0.00131822155756435;376.436699364224;0.00616183748873241;0.00131822155756435;""
377.198440122613;0.0060752806936905;0.00129788839285157;377.198440122613;0.0060752806936905;0.00129788839285157;""
377.95998294838;0.0059887463897825;0.00127756051155912;377.95998294838;0.0059887463897825;0.00127756051155912;""
378.721327837385;0.00590223457747882;0.0012572379137975;378.721327837385;0.00590223457747882;0.0012572379137975;""
379.482474785484;0.00581574525725036;0.00123692059967733;379.482474785484;0.00581574525725036;0.00123692059967733;""
380.243423788536;0.00572927842956765;0.00121660856930914;380.243423788536;0.00572927842956765;0.00121660856930914;""
381.004174842397;0.00564283409490159;0.00119630182280356;381.004174842397;0.00564283409490159;0.00119630182280356;""
381.764727942926;0.0055564122537227;0.00117600036027111;381.764727942926;0.0055564122537227;0.00117600036027111;""
382.525083085979;0.00547001290650188;0.00115570418182242;382.525083085979;0.00547001290650188;0.00115570418182242;""
383.285240267415;0.00538363605370968;0.00113541328756802;383.285240267415;0.00538363605370968;0.00113541328756802;""
